Tilgangskode,Beskrivelse,Startdato,Sluttdato
A,Ansettelse,05.02.2008,
B,Begrenset etter sikkerhetsloven,01.01.2007,
BA,Barnehagebarn,20.08.2008,
E,Elevsaker,07.12.2006,
F,Fortrolig etter beskyttelsesinstruksen,,
H,Hemmelig etter sikkerhetsloven,,
K,Konfidensielt etter sikkerhetsloven,,
KL,Klientsaker,19.12.2006,
MU,Møtedokumenter unntatt offentlighet,07.12.2006,
P,Personalsaker,01.01.2007,
PS,Personsensitivt,05.11.2010,
SF,Strengt fortrolig etter beskyttelsesinstruksen,,
U,Utviklingssamtale,16.06.2011,
UO,Unntatt offentlighet,07.12.2006,
V,Varsling,14.03.2018,
XX,Midlertidig sperret,15.08.2018,
